Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-09-22 00:00:00-04:00,46.7813211914483,47.787664149028096,46.7813211914483,47.21649932861328,16400,0.0,0.0,0.0
2010-09-23 00:00:00-04:00,46.83571152900993,47.5972679546223,46.77224878174726,46.84477615356445,7700,0.0,0.0,0.0
2010-09-24 00:00:00-04:00,47.769542751642156,48.23191833496094,47.769542751642156,48.23191833496094,500,0.0,0.0,0.0
2010-09-27 00:00:00-04:00,48.34976541613696,48.44042550613739,48.20470373859908,48.25910186767578,8200,0.0,0.0,0.0
2010-09-28 00:00:00-04:00,47.687940383398754,48.77587891007465,47.61541299279969,48.73054885864258,85100,0.0,0.0,0.0
2010-09-29 00:00:00-04:00,48.65800878261082,49.07505416870117,48.65800878261082,49.07505416870117,28700,0.0,0.0,0.0
2010-09-30 00:00:00-04:00,49.43770530858831,49.43770530858831,48.50389314539389,48.803077697753906,30700,0.0,0.0,0.0
2010-10-01 00:00:00-04:00,49.2835857099785,49.2835857099785,49.129459381103516,49.129459381103516,400,0.0,0.0,0.0
2010-10-04 00:00:00-04:00,49.04785129749909,49.04785129749909,48.31349564267874,48.35882568359375,3200,0.0,0.0,0.0
2010-10-05 00:00:00-04:00,48.884669637879014,49.89101264562288,48.875605011364144,49.86381530761719,8400,0.0,0.0,0.0
2010-10-06 00:00:00-04:00,49.845686636810875,49.845686636810875,49.582767486572266,49.582767486572266,2200,0.0,0.0,0.0
2010-10-07 00:00:00-04:00,49.57369009604529,49.57369009604529,49.13851547241211,49.13851547241211,600,0.0,0.0,0.0
2010-10-08 00:00:00-04:00,49.38330892270078,50.253658294677734,49.337975416244106,50.253658294677734,3900,0.0,0.0,0.0
2010-10-11 00:00:00-04:00,50.05420483948283,50.44404950010993,49.9544766530255,50.12673568725586,23900,0.0,0.0,0.0
2010-10-12 00:00:00-04:00,49.89101099379018,50.262722920892486,49.718755428022135,50.253658294677734,4700,0.0,0.0,0.0
2010-10-13 00:00:00-04:00,50.44403669316704,51.32345397760843,50.38057394670842,51.20559310913086,12900,0.0,0.0,0.0
2010-10-14 00:00:00-04:00,50.96081177905715,51.087737284505664,50.625365306306,50.634429931640625,7800,0.0,0.0,0.0
2010-10-15 00:00:00-04:00,51.33251965466843,51.33251965466843,50.51656855841414,50.91547775268555,22400,0.0,0.0,0.0
2010-10-18 00:00:00-04:00,50.988027087903454,51.18748002819364,50.888298888527544,51.151214599609375,16300,0.0,0.0,0.0
2010-10-19 00:00:00-04:00,50.56189861273439,50.7794841884128,49.66434860229492,49.66434860229492,10900,0.0,0.0,0.0
2010-10-20 00:00:00-04:00,50.17205233782829,50.64349234705629,50.17205233782829,50.4259033203125,5700,0.0,0.0,0.0
2010-10-21 00:00:00-04:00,50.68882875995172,50.98801327704085,49.528363027277784,50.072330474853516,14800,0.0,0.0,0.0
2010-10-22 00:00:00-04:00,50.40777950630739,50.65256590765753,50.35338483387016,50.64350128173828,4000,0.0,0.0,0.0
2010-10-25 00:00:00-04:00,51.31440970368069,51.541063462899174,51.16028680747383,51.332542419433594,11000,0.0,0.0,0.0
2010-10-26 00:00:00-04:00,50.960830392653754,51.40507328244522,50.688846573283946,51.332542419433594,10600,0.0,0.0,0.0
2010-10-27 00:00:00-04:00,50.83389172099876,51.096810843865605,50.317121560032064,50.98801803588867,9800,0.0,0.0,0.0
2010-10-28 00:00:00-04:00,51.43225846494684,51.43225846494684,50.543776353920165,50.87922286987305,5100,0.0,0.0,0.0
2010-10-29 00:00:00-04:00,50.951748809373434,51.151201699361934,50.951748809373434,51.12400436401367,2000,0.0,0.0,0.0
2010-11-01 00:00:00-04:00,51.395994178414156,51.486657737744615,50.45311737060547,50.45311737060547,3400,0.0,0.0,0.0
2010-11-02 00:00:00-04:00,51.44131942985486,51.56824493408203,51.12400221082632,51.56824493408203,6000,0.0,0.0,0.0
2010-11-03 00:00:00-04:00,51.577318979798264,51.822105407714844,51.087746123965104,51.822105407714844,6700,0.0,0.0,0.0
2010-11-04 00:00:00-04:00,52.71965532076306,53.0369691373456,52.7105872354543,53.02790451049805,20600,0.0,0.0,0.0
2010-11-05 00:00:00-04:00,53.28176229939257,53.32709235628317,53.11857132781709,53.12763595581055,8100,0.0,0.0,0.0
2010-11-08 00:00:00-05:00,53.21830018259542,53.39962387084961,52.98257835032646,53.39962387084961,1000,0.0,0.0,0.0
2010-11-09 00:00:00-05:00,53.281748626088294,53.281748626088294,52.44766126780802,52.692447662353516,1700,0.0,0.0,0.0
2010-11-10 00:00:00-05:00,52.76498282233577,53.336151123046875,52.36607009109452,53.336151123046875,5500,0.0,0.0,0.0
2010-11-11 00:00:00-05:00,52.719664319869,52.719664319869,52.5020751953125,52.5020751953125,200,0.0,0.0,0.0
2010-11-12 00:00:00-05:00,52.63804840601256,52.63804840601256,52.16660836778506,52.2391357421875,700,0.0,0.0,0.0
2010-11-15 00:00:00-05:00,52.60178811030261,52.60178811030261,52.202878866104676,52.456729888916016,3400,0.0,0.0,0.0
2010-11-16 00:00:00-05:00,51.90368677863604,51.90368677863604,50.95174212329635,51.20559310913086,11700,0.0,0.0,0.0
2010-11-17 00:00:00-05:00,51.3053312786874,51.49571955520339,51.21467118276387,51.269065856933594,1900,0.0,0.0,0.0
2010-11-18 00:00:00-05:00,52.16661163979217,52.63805170758945,52.16661163979217,52.38419723510742,3500,0.0,0.0,0.0
2010-11-19 00:00:00-05:00,52.36607428591491,52.75591896351433,52.193818702646396,52.68339157104492,4400,0.0,0.0,0.0
2010-11-22 00:00:00-05:00,52.520203276283766,53.009776169490564,52.40234236677957,52.9735107421875,6800,0.0,0.0,0.0
2010-11-23 00:00:00-05:00,52.42953110682016,52.60178665919578,52.15754392307031,52.565521240234375,7000,0.0,0.0,0.0
2010-11-24 00:00:00-05:00,53.35427314329214,53.762250445638536,53.35427314329214,53.744117736816406,1900,0.0,0.0,0.0
2010-11-26 00:00:00-05:00,53.707863403532436,53.72599265646813,53.698795318603516,53.698795318603516,5500,0.0,0.0,0.0
2010-11-29 00:00:00-05:00,53.3814782655924,53.553733825683594,52.71058181859881,53.553733825683594,10700,0.0,0.0,0.0
2010-11-30 00:00:00-05:00,52.98257623680883,53.29989354321105,52.75592250014792,53.191097259521484,7800,0.0,0.0,0.0
2010-12-01 00:00:00-05:00,54.18836105487461,54.56007294367927,54.18836105487461,54.523807525634766,2800,0.0,0.0,0.0
2010-12-02 00:00:00-05:00,55.03153048280009,55.03153048280009,55.004329681396484,55.004329681396484,300,0.0,0.0,0.0
2010-12-03 00:00:00-05:00,54.72327610092637,55.5301628112793,54.72327610092637,55.5301628112793,1300,0.0,0.0,0.0
2010-12-06 00:00:00-05:00,55.41231301054114,55.901885986328125,55.41231301054114,55.901885986328125,5800,0.0,0.0,0.0
2010-12-07 00:00:00-05:00,56.57277675556615,56.57277675556615,56.01974105834961,56.01974105834961,12400,0.0,0.0,0.0
2010-12-08 00:00:00-05:00,56.27357537099977,56.32797349922365,55.96532622798581,56.17384719848633,3100,0.0,0.0,0.0
2010-12-09 00:00:00-05:00,56.51835921213118,56.51835921213118,55.9925210383903,56.34610366821289,18000,0.0,0.0,0.0
2010-12-10 00:00:00-05:00,56.41863271162276,56.971668235364525,56.20104711902771,56.88100814819336,6900,0.0,0.0,0.0
2010-12-13 00:00:00-05:00,57.26179108206266,57.26179108206266,56.5727653503418,56.5727653503418,12600,0.0,0.0,0.0
2010-12-14 00:00:00-05:00,56.79941394391141,56.79941394391141,56.4005012512207,56.4005012512207,7800,0.0,0.0,0.0
2010-12-15 00:00:00-05:00,56.500232695745964,57.06233288981116,56.400504516799046,56.40957260131836,13500,0.0,0.0,0.0
2010-12-16 00:00:00-05:00,56.56368858279333,56.908203125,56.355167624169965,56.908203125,3500,0.0,0.0,0.0
2010-12-17 00:00:00-05:00,57.143935940655226,57.42498780421128,56.799424769348114,57.334327697753906,12300,0.0,0.0,0.0
2010-12-20 00:00:00-05:00,57.75136475584236,57.86922565087299,57.27992463418091,57.76042938232422,22700,0.0,0.0,0.0
2010-12-21 00:00:00-05:00,57.82389429005369,58.0958815130633,57.77856423903915,58.05961608886719,26500,0.0,0.0,0.0
2010-12-22 00:00:00-05:00,58.25907833079945,58.25907833079945,57.8873628830454,57.89643096923828,10900,0.0,0.0,0.0
2010-12-23 00:00:00-05:00,57.96894982328161,58.07774263233196,57.74229612032443,57.81482696533203,29800,0.0,0.0,0.0
2010-12-27 00:00:00-05:00,57.80573635703109,58.051177074758925,57.514844425140026,58.0057258605957,18300,0.17,0.0,0.0
2010-12-28 00:00:00-05:00,58.27843689310565,58.27843689310565,57.633020632854965,57.70574188232422,26300,0.0,0.0,0.0
2010-12-29 00:00:00-05:00,57.905726563660004,57.92390774143928,57.742099431351576,57.76028060913086,9000,0.0,0.0,0.0
2010-12-30 00:00:00-05:00,57.823923785462625,57.98755094829825,57.787561423120096,57.796653747558594,4900,0.0,0.0,0.0
2010-12-31 00:00:00-05:00,57.60574866322085,57.678473382331035,57.45121383666992,57.45121383666992,14500,0.0,0.0,0.0
2011-01-03 00:00:00-05:00,57.68756471824763,58.4511604309082,57.68756471824763,58.4511604309082,8800,0.0,0.0,0.0
2011-01-04 00:00:00-05:00,58.52386471482418,58.52386471482418,57.2057623716103,57.41484069824219,16500,0.0,0.0,0.0
2011-01-05 00:00:00-05:00,57.65122094715746,58.05120011302287,57.22397520321951,57.90575408935547,7300,0.0,0.0,0.0
2011-01-06 00:00:00-05:00,58.514785717762095,58.514785717762095,57.814822488271545,57.8511848449707,10000,0.0,0.0,0.0
2011-01-07 00:00:00-05:00,58.10570219329698,58.160245716881285,56.76941880867396,57.5057373046875,17300,0.0,0.0,0.0
2011-01-10 00:00:00-05:00,57.433024770839765,58.20570573290955,57.014868096489174,58.114803314208984,74700,0.0,0.0,0.0
2011-01-11 00:00:00-05:00,58.37843208567338,58.46933451512191,58.00572657660578,58.25116729736328,4200,0.0,0.0,0.0
2011-01-12 00:00:00-05:00,58.7238611358445,58.86021824085908,58.42387689189451,58.67841339111328,9900,0.0,0.0,0.0
2011-01-13 00:00:00-05:00,58.6693172370675,58.905669074632335,58.59659252775371,58.66022491455078,12400,0.0,0.0,0.0
2011-01-14 00:00:00-05:00,58.632973368416515,59.19657964017914,58.61479565306193,59.142032623291016,12000,0.0,0.0,0.0
2011-01-18 00:00:00-05:00,59.0602170015362,59.1602117652056,58.7147780232559,58.95112991333008,5400,0.0,0.0,0.0
2011-01-19 00:00:00-05:00,59.17838365392417,59.22383833672217,57.75119400024414,57.75119400024414,9000,0.0,0.0,0.0
2011-01-20 00:00:00-05:00,57.36031565948617,57.36031565948617,56.52400208336944,56.80580520629883,13200,0.0,0.0,0.0
2011-01-21 00:00:00-05:00,57.27848979703046,57.27848979703046,56.56035232543945,56.56035232543945,13300,0.0,0.0,0.0
2011-01-24 00:00:00-05:00,56.46036431669855,56.778526306152344,56.32400719681515,56.778526306152344,4100,0.0,0.0,0.0
2011-01-25 00:00:00-05:00,56.514893504571354,56.578529357910156,56.024015596496504,56.578529357910156,12700,0.0,0.0,0.0
2011-01-26 00:00:00-05:00,56.82398226096361,57.74211288028447,56.642177376236134,57.651206970214844,15600,0.0,0.0,0.0
